Unix,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH_Open,ETH_High,ETH_Low,ETH_Close,UNI_Open,UNI_High,UNI_Low,UNI_Close,CRV_Open,CRV_High,CRV_Low,CRV_Close
1621900800000,38810.99,39791.77,36419.62,38324.72,2647.92,2750.0,2378.54,2705.11,24.68,26.7,21.505,25.106,1.628,1.705,1.389,1.612
1621987200000,38324.72,40841.0,37800.44,39241.91,2705.1,2910.0,2643.0,2884.94,25.097,29.428,24.436,29.42,1.611,1.93,1.574,1.894
1622073600000,39241.92,40411.14,37134.27,38529.98,2884.82,2889.74,2633.68,2742.23,29.382,30.0,26.106,28.549,1.893,1.932,1.648,1.757
1622160000000,38529.99,38877.83,34684.0,35663.49,2742.23,2762.45,2327.38,2412.1,28.538,29.398,24.861,25.875,1.756,1.793,1.5,1.589
1622246400000,35661.79,37338.58,33632.76,34605.15,2412.34,2574.27,2204.1,2278.74,25.886,27.531,21.809,23.169,1.59,1.753,1.48,1.742
1622332800000,34605.15,36488.0,33379.0,35641.27,2278.74,2476.42,2180.53,2385.98,23.171,26.668,21.66,25.716,1.74,1.8,1.615,1.679
1622419200000,35641.26,37499.0,34153.84,37253.81,2385.82,2720.0,2271.44,2706.15,25.7,28.4,23.433,28.239,1.679,1.968,1.599,1.956
1622505600000,37253.82,37894.81,35666.0,36693.09,2706.15,2740.0,2523.74,2634.57,28.239,28.754,25.942,27.426,1.956,2.08,1.784,2.05
1622592000000,36694.85,38225.0,35920.0,37568.68,2634.31,2802.99,2550.0,2706.22,27.413,28.803,26.335,27.626,2.049,2.518,1.983,2.333
1622678400000,37568.68,39476.0,37170.0,39246.79,2706.21,2891.95,2662.4,2857.25,27.626,29.382,26.897,28.687,2.333,2.747,2.297,2.503
1622764800000,39246.78,39289.07,35555.15,36829.0,2857.25,2860.0,2552.0,2689.51,28.68,28.696,25.005,26.422,2.502,2.788,2.152,2.686
1622851200000,36829.15,37925.0,34800.0,35513.2,2689.54,2816.87,2552.23,2627.73,26.423,27.84,25.04,25.641,2.681,2.9,2.4,2.531
1622937600000,35516.07,36480.0,35222.0,35796.31,2627.63,2745.0,2614.0,2711.92,25.628,26.45,25.303,25.861,2.529,2.621,2.402,2.457
1623024000000,35796.31,36900.0,33300.0,33552.79,2711.92,2847.55,2570.0,2592.05,25.863,27.335,23.91,24.269,2.458,2.573,2.119,2.151
1623110400000,33556.96,34068.01,31000.0,33380.81,2592.05,2620.99,2304.91,2507.23,24.263,24.644,20.465,23.424,2.151,2.379,1.982,2.315
1623196800000,33380.8,37534.79,32396.82,37388.05,2507.43,2626.63,2405.28,2610.18,23.412,25.241,22.097,25.096,2.314,2.584,2.162,2.525
1623283200000,37388.05,38491.0,35782.0,36675.72,2610.2,2624.46,2425.11,2471.09,25.094,25.26,23.085,23.582,2.525,2.54,2.21,2.265
1623369600000,36677.83,37680.4,35936.77,37331.98,2471.01,2497.99,2321.37,2354.01,23.577,23.868,21.299,21.848,2.264,2.308,2.062,2.162
1623456000000,37331.98,37463.63,34600.36,35546.11,2354.09,2454.53,2256.22,2370.74,21.848,22.063,20.239,21.296,2.162,2.29,2.003,2.086
1623542400000,35546.12,39380.0,34757.0,39020.57,2370.64,2548.41,2308.41,2509.33,21.281,24.0,20.449,23.255,2.085,2.271,2.052,2.205
1623628800000,39020.56,41064.05,38730.0,40516.29,2509.33,2609.17,2461.0,2580.77,23.255,24.207,22.494,24.16,2.205,2.323,2.15,2.273
1623715200000,40516.28,41330.0,39506.4,40144.04,2580.58,2640.0,2507.7,2543.54,24.159,24.69,23.116,23.417,2.271,2.356,2.192,2.236
1623801600000,40143.8,40527.14,38116.01,38349.01,2543.55,2556.19,2351.18,2367.89,23.416,23.55,21.642,21.828,2.237,2.254,2.041,2.075
1623888000000,38349.0,39559.88,37365.0,38092.97,2368.02,2460.5,2306.0,2373.28,21.828,22.941,21.403,22.184,2.074,2.174,2.01,2.096
1623974400000,38092.97,38202.84,35129.29,35819.84,2373.28,2378.0,2139.0,2234.09,22.182,22.269,19.55,20.388,2.096,2.137,1.842,1.925
1624060800000,35820.48,36457.0,34803.52,35483.72,2234.09,2278.82,2161.67,2164.67,20.4,20.978,19.754,19.76,1.925,1.97,1.854,1.854
